BRAND,CATEGORY,STORAGE_TEMP,ARTICLE_CODE,FORECAST_QTY,ACTUAL_QTY,UNIT_PRICE_AED,EXPIRY_DATE,DAYS_TO_EXPIRY
Americana Cakes,Pound Cake,Ambient,AS-960,994,353,31.26,9/9/2025,-127
Americana Cakes,Swiss Roll,Ambient,AS-514,1745,721,16.39,11/16/2025,-59
California Garden,Fava Beans,Ambient,AS-304,132,934,7.63,7/9/2027,541
California Garden,Fava Beans,Ambient,AS-206,369,108,66.25,2/27/2027,409
Bic/Stabilo,Pens,Ambient,AS-506,1563,1562,7.98,1/2/2036,3640
Americana Cakes,Swiss Roll,Ambient,AS-659,1340,660,72.24,1/26/2026,12
Bic/Stabilo,Pens,Ambient,AS-825,1775,991,50.89,6/3/2035,3427
Double A,A4 Paper Box,Ambient,AS-366,159,1678,9.78,5/12/2035,3405
Americana Cakes,Pound Cake,Ambient,AS-257,513,997,51.15,3/22/2026,67
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-921,421,1892,17.93,9/30/2026,259
Bic/Stabilo,Pens,Ambient,AS-612,1497,1546,18.44,11/21/2035,3598
Double A,A4 Paper Box,Ambient,AS-137,1594,330,42.47,8/26/2035,3511
Americana Cakes,Pound Cake,Ambient,AS-624,1998,1332,78.14,7/23/2025,-175
Double A,A4 Paper Box,Ambient,AS-514,1194,103,58.86,9/29/2035,3545
Double A,A4 Paper Box,Ambient,AS-144,745,1130,82.21,12/20/2035,3627
Double A,A4 Paper Box,Ambient,AS-352,1346,1259,17.32,10/16/2035,3562
Bic/Stabilo,Pens,Ambient,AS-709,406,520,42.56,10/1/2035,3547
California Garden,Fava Beans,Ambient,AS-970,314,819,80.59,6/16/2027,518
Bic/Stabilo,Highlighters,Ambient,AS-345,740,1419,21.08,1/17/2035,3290
California Garden,Fava Beans,Ambient,AS-131,428,1857,16.38,7/22/2027,554
Double A,A4 Paper Box,Ambient,AS-478,1175,2001,59.11,3/26/2035,3358
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-811,647,1794,60.4,4/6/2026,82
California Garden,Tuna skips,Ambient,AS-956,202,1590,83.57,5/12/2027,483
California Garden,Tuna skips,Ambient,AS-547,1817,410,40.22,4/22/2027,463
Double A,A4 Paper Box,Ambient,AS-733,1561,1661,56.02,5/6/2035,3399
Double A,A4 Paper Box,Ambient,AS-409,1139,983,43.82,11/2/2035,3579
California Garden,Tuna skips,Ambient,AS-437,305,2000,20.35,12/31/2027,716
Americana Frozen,Burgers,Frozen (-18°C),AS-403,1312,791,47.23,1/29/2026,15
Bic/Stabilo,Highlighters,Ambient,AS-784,1190,1783,28.48,8/14/2035,3499
California Garden,Tuna skips,Ambient,AS-262,903,1364,11.45,9/20/2027,614
Americana Frozen,Burgers,Frozen (-18°C),AS-114,1373,1162,14.23,7/15/2026,182
Bic/Stabilo,Pens,Ambient,AS-247,810,939,57.29,4/7/2035,3370
Double A,A4 Paper Box,Ambient,AS-534,905,2131,42.24,12/9/2035,3616
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-540,1240,1049,79.71,6/5/2026,142
Bic/Stabilo,Highlighters,Ambient,AS-681,1727,1407,35.66,8/13/2035,3498
Double A,A4 Paper Box,Ambient,AS-739,994,1016,84.74,11/17/2035,3594
Double A,A4 Paper Box,Ambient,AS-675,353,1033,40.01,10/15/2035,3561
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-757,1726,2024,45.69,12/11/2025,-34
California Garden,Fava Beans,Ambient,AS-750,873,357,60.64,7/25/2027,557
Americana Cakes,Pound Cake,Ambient,AS-306,842,681,26.83,2/11/2026,28
Americana Cakes,Swiss Roll,Ambient,AS-226,691,1597,30.78,7/3/2026,170
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-106,1546,251,57.96,3/13/2026,58
Bic/Stabilo,Highlighters,Ambient,AS-340,1680,311,41.79,6/17/2035,3441
Double A,A4 Paper Box,Ambient,AS-975,781,734,47.17,6/12/2035,3436
California Garden,Fava Beans,Ambient,AS-461,1083,107,14.38,1/13/2028,729
Americana Cakes,Pound Cake,Ambient,AS-146,1141,1273,41.73,12/14/2025,-31
Americana Cakes,Pound Cake,Ambient,AS-795,957,2127,15.46,6/24/2026,161
Americana Cakes,Pound Cake,Ambient,AS-682,1512,309,46.46,11/23/2025,-52
California Garden,Tuna skips,Ambient,AS-352,462,703,69.49,10/29/2027,653
California Garden,Fava Beans,Ambient,AS-104,492,1784,9.39,2/11/2027,393
Americana Cakes,Pound Cake,Ambient,AS-837,686,959,36.76,2/13/2026,30
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-578,551,2082,31.57,6/15/2026,152
Bic/Stabilo,Highlighters,Ambient,AS-508,826,1196,14.1,9/5/2035,3521
Double A,A4 Paper Box,Ambient,AS-962,188,1693,22.97,8/20/2035,3505
Double A,A4 Paper Box,Ambient,AS-292,735,384,56.56,7/10/2035,3464
Americana Frozen,Burgers,Frozen (-18°C),AS-207,1600,1038,59.14,2/18/2026,35
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-683,1047,507,20.3,12/26/2025,-19
Americana Cakes,Pound Cake,Ambient,AS-226,1630,1098,14.08,6/15/2026,152
Bic/Stabilo,Highlighters,Ambient,AS-451,1331,1791,48.9,2/24/2035,3328
California Garden,Fava Beans,Ambient,AS-894,1301,1322,75.55,12/27/2027,712
Double A,A4 Paper Box,Ambient,AS-209,716,1705,67.31,7/6/2035,3460
Bic/Stabilo,Highlighters,Ambient,AS-535,1329,1498,29.93,3/27/2035,3359
Double A,A4 Paper Box,Ambient,AS-475,1752,126,76.88,1/20/2035,3293
Americana Frozen,Burgers,Frozen (-18°C),AS-912,1365,1092,60.66,7/11/2026,178
Bic/Stabilo,Highlighters,Ambient,AS-462,1592,1357,76.67,6/27/2035,3451
Double A,A4 Paper Box,Ambient,AS-318,538,260,30.55,9/21/2035,3537
California Garden,Tuna skips,Ambient,AS-307,1412,2057,64.78,4/20/2027,461
Double A,A4 Paper Box,Ambient,AS-446,582,2053,41.09,9/8/2035,3524
Double A,A4 Paper Box,Ambient,AS-277,1531,1444,43.48,4/13/2035,3376
Americana Cakes,Swiss Roll,Ambient,AS-245,1529,1858,23.67,2/26/2026,43
Double A,A4 Paper Box,Ambient,AS-791,599,1099,13.17,5/21/2035,3414
California Garden,Tuna skips,Ambient,AS-215,254,2005,77.88,10/14/2027,638
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-789,1041,1478,70.43,2/18/2026,35
Bic/Stabilo,Pens,Ambient,AS-108,604,2107,41.41,2/4/2035,3308
Americana Frozen,Burgers,Frozen (-18°C),AS-366,102,1147,14.67,6/22/2026,159
Double A,A4 Paper Box,Ambient,AS-511,1247,1306,64.01,4/4/2035,3367
Double A,A4 Paper Box,Ambient,AS-227,1403,1753,11.64,7/27/2035,3481
Double A,A4 Paper Box,Ambient,AS-666,298,1001,82.1,12/31/2035,3638
Bic/Stabilo,Highlighters,Ambient,AS-643,873,479,49.41,12/1/2035,3608
Bic/Stabilo,Highlighters,Ambient,AS-176,1484,1950,79.78,3/31/2035,3363
California Garden,Fava Beans,Ambient,AS-366,763,1639,44.67,11/23/2027,678
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-406,753,286,76.54,1/4/2026,-10
Bic/Stabilo,Pens,Ambient,AS-288,1339,340,27.67,9/15/2035,3531
California Garden,Tuna skips,Ambient,AS-752,680,1479,57.11,3/12/2027,422
Americana Cakes,Pound Cake,Ambient,AS-555,334,2020,26.67,3/7/2026,52
Bic/Stabilo,Highlighters,Ambient,AS-332,580,342,57.86,1/4/2036,3642
Double A,A4 Paper Box,Ambient,AS-461,1057,514,12.81,1/20/2035,3293
California Garden,Tuna skips,Ambient,AS-679,270,404,47.76,1/30/2027,381
California Garden,Fava Beans,Ambient,AS-567,1118,110,22.48,12/10/2027,695
Americana Frozen,Burgers,Frozen (-18°C),AS-631,1630,1056,66.87,4/19/2026,95
California Garden,Fava Beans,Ambient,AS-399,1465,1852,25.06,11/14/2027,669
Double A,A4 Paper Box,Ambient,AS-327,1760,910,46.18,4/21/2035,3384
Bic/Stabilo,Highlighters,Ambient,AS-706,831,1223,33.75,7/2/2035,3456
Double A,A4 Paper Box,Ambient,AS-217,484,367,70.34,4/17/2035,3380
Bic/Stabilo,Pens,Ambient,AS-265,1197,1254,53.07,10/8/2035,3554
Bic/Stabilo,Highlighters,Ambient,AS-274,704,884,33.94,5/19/2035,3412
Bic/Stabilo,Pens,Ambient,AS-143,815,514,10.59,1/11/2036,3649
Bic/Stabilo,Pens,Ambient,AS-415,1671,2152,67.7,4/30/2035,3393
Double A,A4 Paper Box,Ambient,AS-998,1942,1414,80.88,11/1/2035,3578
Americana Cakes,Swiss Roll,Ambient,AS-881,1523,1417,34.53,5/1/2026,107
Americana Cakes,Swiss Roll,Ambient,AS-190,998,204,79.62,1/14/2026,0
Double A,A4 Paper Box,Ambient,AS-761,416,1618,59.33,6/6/2035,3430
Bic/Stabilo,Highlighters,Ambient,AS-426,581,1685,33.39,6/26/2035,3450
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-701,269,1283,24.18,1/19/2026,5
California Garden,Fava Beans,Ambient,AS-992,469,385,50.58,6/28/2027,530
Bic/Stabilo,Pens,Ambient,AS-907,855,230,37.94,11/16/2035,3593
Bic/Stabilo,Highlighters,Ambient,AS-265,1654,1504,63.53,3/31/2035,3363
Bic/Stabilo,Pens,Ambient,AS-151,638,2098,37.99,8/14/2035,3499
Bic/Stabilo,Pens,Ambient,AS-295,681,1927,73.91,11/29/2035,3606
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-185,1920,1247,17.89,5/28/2026,134
Bic/Stabilo,Highlighters,Ambient,AS-138,1085,391,73.76,10/9/2035,3555
Americana Cakes,Swiss Roll,Ambient,AS-772,1385,1762,21.44,1/15/2026,1
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-139,378,353,8.23,7/1/2026,168
Bic/Stabilo,Highlighters,Ambient,AS-145,1991,1634,45.98,6/5/2035,3429
California Garden,Fava Beans,Ambient,AS-541,334,2023,61.14,12/6/2027,691
Bic/Stabilo,Highlighters,Ambient,AS-963,1426,856,44.68,6/10/2035,3434
Americana Frozen,Burgers,Frozen (-18°C),AS-476,234,330,37.45,12/22/2025,-23
Americana Cakes,Swiss Roll,Ambient,AS-722,735,615,25.27,1/26/2026,12
Bic/Stabilo,Highlighters,Ambient,AS-234,759,1912,20.72,8/2/2035,3487
Americana Cakes,Swiss Roll,Ambient,AS-911,940,2198,11.07,4/15/2026,91
Double A,A4 Paper Box,Ambient,AS-776,1676,88,7.99,12/31/2035,3638
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-836,1301,1661,31.37,11/30/2025,-45
Americana Cakes,Swiss Roll,Ambient,AS-157,1008,1143,69.69,3/6/2026,51
Americana Cakes,Pound Cake,Ambient,AS-552,530,1185,16.89,6/23/2026,160
Americana Frozen,Burgers,Frozen (-18°C),AS-201,244,635,21.54,3/6/2026,51
Bic/Stabilo,Pens,Ambient,AS-394,1535,318,50.23,5/31/2035,3424
Bic/Stabilo,Highlighters,Ambient,AS-514,1559,2114,14.88,8/3/2035,3488
Americana Frozen,Burgers,Frozen (-18°C),AS-226,862,1225,65.81,11/10/2025,-65
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-160,1750,1279,9.81,3/22/2026,67
Americana Frozen,Burgers,Frozen (-18°C),AS-690,113,719,73.32,8/5/2026,203
Double A,A4 Paper Box,Ambient,AS-811,712,1589,63.79,7/26/2035,3480
Double A,A4 Paper Box,Ambient,AS-619,1912,500,8.45,11/19/2035,3596
Americana Cakes,Pound Cake,Ambient,AS-349,1563,2150,64.26,12/7/2025,-38
California Garden,Fava Beans,Ambient,AS-234,906,1627,75.08,7/11/2027,543
California Garden,Fava Beans,Ambient,AS-846,1179,1006,18.55,6/10/2027,512
Double A,A4 Paper Box,Ambient,AS-500,1121,278,43.81,3/16/2035,3348
Double A,A4 Paper Box,Ambient,AS-280,581,2115,60.01,4/28/2035,3391
California Garden,Tuna skips,Ambient,AS-750,1284,665,13.75,7/17/2027,549
Double A,A4 Paper Box,Ambient,AS-913,264,574,29.38,9/23/2035,3539
California Garden,Fava Beans,Ambient,AS-215,853,1725,59.2,3/18/2027,428
Double A,A4 Paper Box,Ambient,AS-861,1859,1263,25.42,12/13/2035,3620
Bic/Stabilo,Highlighters,Ambient,AS-329,312,1977,14.42,10/9/2035,3555
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-340,526,729,49.67,1/24/2026,10
Double A,A4 Paper Box,Ambient,AS-284,1240,1209,67.25,4/4/2035,3367
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-371,1884,1024,76.51,5/29/2026,135
Double A,A4 Paper Box,Ambient,AS-500,376,1632,46.9,12/16/2035,3623
Americana Cakes,Swiss Roll,Ambient,AS-520,1490,1042,33.1,6/17/2026,154
Americana Cakes,Swiss Roll,Ambient,AS-589,1742,1026,8.87,12/9/2025,-36
Americana Frozen,Burgers,Frozen (-18°C),AS-431,1770,1853,65.54,1/16/2026,2
California Garden,Tuna skips,Ambient,AS-855,752,1173,68.42,4/14/2027,455
Americana Frozen,Burgers,Frozen (-18°C),AS-358,472,2180,30.12,5/20/2026,126
Bic/Stabilo,Pens,Ambient,AS-970,817,2175,60.26,9/28/2035,3544
Double A,A4 Paper Box,Ambient,AS-393,807,316,53.72,3/15/2035,3347
Bic/Stabilo,Pens,Ambient,AS-458,1486,960,57.77,8/8/2035,3493
California Garden,Fava Beans,Ambient,AS-796,253,1892,57.26,8/21/2027,584
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-699,1267,167,59.55,8/23/2026,221
California Garden,Fava Beans,Ambient,AS-445,1534,1124,26.76,12/18/2027,703
Bic/Stabilo,Highlighters,Ambient,AS-188,1279,1806,56.49,9/4/2035,3520
Bic/Stabilo,Highlighters,Ambient,AS-143,198,1732,30.6,9/3/2035,3519
Bic/Stabilo,Pens,Ambient,AS-274,1006,1090,71.74,11/27/2035,3604
Americana Cakes,Pound Cake,Ambient,AS-646,109,2182,64.63,1/23/2026,9
Americana Cakes,Pound Cake,Ambient,AS-380,184,1018,64.75,7/3/2026,170
California Garden,Fava Beans,Ambient,AS-893,224,737,83.36,3/1/2027,411
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-610,1173,1732,21.62,7/14/2026,181
California Garden,Tuna skips,Ambient,AS-330,1631,1914,56.52,4/15/2027,456
California Garden,Fava Beans,Ambient,AS-729,1172,657,35.34,10/25/2027,649
Americana Cakes,Swiss Roll,Ambient,AS-509,1274,1084,63.81,1/3/2026,-11
Americana Frozen,Burgers,Frozen (-18°C),AS-901,720,1798,53.81,11/1/2025,-74
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-301,1741,1171,9.74,4/24/2026,100
Bic/Stabilo,Pens,Ambient,AS-338,171,1393,35.24,5/28/2035,3421
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-824,768,638,61.37,2/4/2026,21
Double A,A4 Paper Box,Ambient,AS-837,1461,176,45.61,1/12/2035,3285
California Garden,Fava Beans,Ambient,AS-575,1186,188,53.83,6/8/2027,510
Double A,A4 Paper Box,Ambient,AS-527,1664,2009,48.28,4/19/2035,3382
Americana Frozen,Burgers,Frozen (-18°C),AS-990,1072,1150,82.95,8/21/2026,219
California Garden,Tuna skips,Ambient,AS-289,985,1999,44.95,7/20/2027,552
California Garden,Tuna skips,Ambient,AS-707,1548,1131,36.46,8/21/2027,584
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-258,190,509,78.64,11/1/2025,-74
California Garden,Fava Beans,Ambient,AS-860,1111,613,26.62,2/9/2027,391
Bic/Stabilo,Pens,Ambient,AS-480,566,385,49.76,4/9/2035,3372
Americana Cakes,Pound Cake,Ambient,AS-710,1052,739,11.35,7/18/2025,-180
California Garden,Fava Beans,Ambient,AS-793,515,866,57.47,5/7/2027,478
Americana Cakes,Swiss Roll,Ambient,AS-846,1790,1662,82.86,11/15/2025,-60
Bic/Stabilo,Highlighters,Ambient,AS-324,482,726,26.26,9/20/2035,3536
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-936,636,2073,38.69,1/18/2026,4
Double A,A4 Paper Box,Ambient,AS-166,1658,746,51.47,3/20/2035,3352
Americana Cakes,Swiss Roll,Ambient,AS-212,1694,2109,71.33,2/24/2026,41
Americana Cakes,Swiss Roll,Ambient,AS-913,1173,970,71.01,11/28/2025,-47
Double A,A4 Paper Box,Ambient,AS-675,171,1394,16.74,11/6/2035,3583
Americana Cakes,Pound Cake,Ambient,AS-636,866,1281,65.05,11/9/2025,-66
Bic/Stabilo,Pens,Ambient,AS-685,1325,759,76.58,11/12/2035,3589
Double A,A4 Paper Box,Ambient,AS-398,122,1460,14.33,6/22/2035,3446
Double A,A4 Paper Box,Ambient,AS-479,1230,585,57.11,11/16/2035,3593
Americana Cakes,Pound Cake,Ambient,AS-466,1942,165,20.8,8/21/2025,-146
Americana Cakes,Swiss Roll,Ambient,AS-569,1568,677,32.79,11/19/2025,-56
Americana Cakes,Pound Cake,Ambient,AS-960,570,1723,30.08,9/22/2025,-114
Double A,A4 Paper Box,Ambient,AS-373,1590,397,9.73,10/17/2035,3563
Bic/Stabilo,Highlighters,Ambient,AS-853,1974,2134,81.07,2/22/2035,3326
California Garden,Fava Beans,Ambient,AS-730,546,1771,71.34,12/30/2027,715
Americana Cakes,Swiss Roll,Ambient,AS-571,1685,1492,29.13,5/25/2026,131
California Garden,Tuna skips,Ambient,AS-288,463,1053,37.45,3/16/2027,426
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-236,685,2016,6.36,1/3/2026,-11
Bic/Stabilo,Highlighters,Ambient,AS-161,1089,1106,64.76,6/1/2035,3425
California Garden,Tuna skips,Ambient,AS-502,445,1249,63.17,3/8/2027,418
California Garden,Tuna skips,Ambient,AS-786,885,2061,60.55,3/16/2027,426
California Garden,Tuna skips,Ambient,AS-133,1555,970,79.16,5/16/2027,487
Bic/Stabilo,Pens,Ambient,AS-939,1513,1302,41.07,9/19/2035,3535
Americana Cakes,Swiss Roll,Ambient,AS-871,1487,1623,37.04,5/27/2026,133
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-928,363,822,13.23,4/18/2026,94
Bic/Stabilo,Highlighters,Ambient,AS-759,1807,649,47.74,4/3/2035,3366
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-136,1962,1939,84.68,10/31/2025,-75
Double A,A4 Paper Box,Ambient,AS-335,766,207,25.5,1/8/2036,3646
Americana Frozen,Burgers,Frozen (-18°C),AS-524,883,472,14.39,5/3/2026,109
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-854,1110,104,15.6,3/8/2026,53
Americana Cakes,Pound Cake,Ambient,AS-171,980,1036,31.88,2/10/2026,27
Americana Frozen,Burgers,Frozen (-18°C),AS-186,1841,1593,16.14,12/6/2025,-39
Americana Frozen,Burgers,Frozen (-18°C),AS-795,439,1110,15.62,5/1/2026,107
Double A,A4 Paper Box,Ambient,AS-966,1418,689,13.44,7/16/2035,3470
California Garden,Fava Beans,Ambient,AS-922,1537,588,67.56,8/2/2027,565
Americana Cakes,Pound Cake,Ambient,AS-919,251,1044,29.02,12/17/2025,-28
Bic/Stabilo,Highlighters,Ambient,AS-506,208,1919,11.07,11/17/2035,3594
Double A,A4 Paper Box,Ambient,AS-440,1688,257,82.97,4/19/2035,3382
California Garden,Tuna skips,Ambient,AS-687,822,2077,28.13,11/29/2027,684
Bic/Stabilo,Pens,Ambient,AS-364,116,411,55.98,3/11/2035,3343
Bic/Stabilo,Pens,Ambient,AS-485,1014,1017,44.11,5/8/2035,3401
Double A,A4 Paper Box,Ambient,AS-301,216,1326,44.36,2/28/2035,3332
Double A,A4 Paper Box,Ambient,AS-941,1590,446,44.75,7/19/2035,3473
Double A,A4 Paper Box,Ambient,AS-568,335,1004,66.35,9/1/2035,3517
Bic/Stabilo,Pens,Ambient,AS-963,1348,2074,78.46,2/21/2035,3325
Bic/Stabilo,Highlighters,Ambient,AS-656,1318,1034,35.87,6/7/2035,3431
Double A,A4 Paper Box,Ambient,AS-622,1554,1266,40.85,11/13/2035,3590
Americana Cakes,Swiss Roll,Ambient,AS-551,1477,1804,70.38,5/8/2026,114
Americana Cakes,Swiss Roll,Ambient,AS-687,886,2144,21.57,3/1/2026,46
Americana Frozen,Burgers,Frozen (-18°C),AS-598,438,288,56.01,5/1/2026,107
Americana Cakes,Pound Cake,Ambient,AS-597,1826,728,51.79,1/21/2026,7
Americana Frozen,Burgers,Frozen (-18°C),AS-127,1169,139,32.66,4/9/2026,85
California Garden,Fava Beans,Ambient,AS-740,1191,1537,39.82,9/2/2027,596
Bic/Stabilo,Pens,Ambient,AS-154,905,386,47.88,9/18/2035,3534
Americana Cakes,Swiss Roll,Ambient,AS-108,1380,537,69.35,6/9/2026,146
Bic/Stabilo,Highlighters,Ambient,AS-480,399,1284,39.42,12/16/2035,3623
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-193,346,1139,81.32,5/5/2026,111
Americana Cakes,Pound Cake,Ambient,AS-416,765,971,82.84,6/4/2026,141
California Garden,Tuna skips,Ambient,AS-749,1761,1320,59.73,7/17/2027,549
Bic/Stabilo,Highlighters,Ambient,AS-857,345,1495,10.4,12/29/2035,3636
California Garden,Tuna skips,Ambient,AS-352,1402,207,21.48,8/12/2027,575
Americana Cakes,Pound Cake,Ambient,AS-751,843,302,51.05,7/27/2025,-171
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-476,1027,1557,69.84,11/6/2025,-69
Double A,A4 Paper Box,Ambient,AS-186,736,490,22.62,1/22/2035,3295
California Garden,Fava Beans,Ambient,AS-961,260,172,71.8,3/6/2027,416
Double A,A4 Paper Box,Ambient,AS-496,1915,128,11.24,5/9/2035,3402
Double A,A4 Paper Box,Ambient,AS-227,1470,1883,27.99,10/1/2035,3547
Double A,A4 Paper Box,Ambient,AS-917,1692,2092,45.75,12/6/2035,3613
Americana Cakes,Pound Cake,Ambient,AS-536,179,1796,12.31,3/17/2026,62
California Garden,Fava Beans,Ambient,AS-483,1220,2177,22.74,9/3/2027,597
Americana Cakes,Swiss Roll,Ambient,AS-305,1813,147,21.85,5/4/2026,110
California Garden,Fava Beans,Ambient,AS-209,1002,406,38.47,2/7/2027,389
Double A,A4 Paper Box,Ambient,AS-100,355,726,60.23,3/16/2035,3348
California Garden,Fava Beans,Ambient,AS-524,1654,783,46.38,5/22/2027,493
Bic/Stabilo,Highlighters,Ambient,AS-435,1012,607,60.57,6/17/2035,3441
California Garden,Fava Beans,Ambient,AS-283,1680,248,10.93,8/12/2027,575
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-377,1287,1039,7.74,10/31/2025,-75
Double A,A4 Paper Box,Ambient,AS-934,1278,1988,47.55,5/30/2035,3423
Americana Cakes,Swiss Roll,Ambient,AS-999,1423,2058,7.46,2/24/2026,41
Bic/Stabilo,Pens,Ambient,AS-822,390,564,30.94,8/24/2035,3509
Americana Frozen,Burgers,Frozen (-18°C),AS-386,1135,2129,32.25,10/8/2026,267
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-158,1254,277,81.43,8/18/2026,216
California Garden,Tuna skips,Ambient,AS-455,165,1045,73.65,1/13/2028,729
Americana Cakes,Swiss Roll,Ambient,AS-877,1770,287,29.13,10/11/2025,-95
Double A,A4 Paper Box,Ambient,AS-534,1886,634,46.23,3/19/2035,3351
Americana Frozen,Burgers,Frozen (-18°C),AS-415,1981,1276,63.92,12/14/2025,-31
Double A,A4 Paper Box,Ambient,AS-947,518,1354,25.57,4/15/2035,3378
California Garden,Tuna skips,Ambient,AS-309,167,1964,32.76,11/9/2027,664
California Garden,Tuna skips,Ambient,AS-693,1886,2007,20.66,4/23/2027,464
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-902,1042,265,31.89,3/11/2026,56
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-421,1438,212,69.82,12/2/2025,-43
California Garden,Tuna skips,Ambient,AS-559,456,1586,44.97,9/2/2027,596
Americana Cakes,Pound Cake,Ambient,AS-780,1347,175,79.83,2/4/2026,21
Double A,A4 Paper Box,Ambient,AS-781,422,228,71.46,1/3/2036,3641
Bic/Stabilo,Highlighters,Ambient,AS-156,808,376,53.77,12/12/2035,3619
California Garden,Fava Beans,Ambient,AS-750,1185,1654,53.85,2/2/2027,384
California Garden,Fava Beans,Ambient,AS-945,190,403,59.73,7/5/2027,537
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-123,328,817,52.97,6/28/2026,165
Americana Frozen,Burgers,Frozen (-18°C),AS-638,1361,1432,82.69,7/31/2026,198
Americana Frozen,Burgers,Frozen (-18°C),AS-574,614,510,63.77,9/6/2026,235
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-716,527,712,42.53,1/30/2026,16
Bic/Stabilo,Highlighters,Ambient,AS-301,222,1776,14.59,2/14/2035,3318
Americana Cakes,Swiss Roll,Ambient,AS-852,1732,973,68.85,9/8/2025,-128
Bic/Stabilo,Highlighters,Ambient,AS-319,511,666,13.42,6/19/2035,3443
Americana Cakes,Pound Cake,Ambient,AS-149,155,1118,33.2,4/29/2026,105
Americana Cakes,Swiss Roll,Ambient,AS-149,1382,968,10.69,11/20/2025,-55
Americana Cakes,Pound Cake,Ambient,AS-664,1876,2095,78.78,3/14/2026,59
Americana Cakes,Swiss Roll,Ambient,AS-690,1248,1429,53.55,8/11/2025,-156
Americana Cakes,Pound Cake,Ambient,AS-628,1144,553,39.12,7/5/2026,172
Bic/Stabilo,Highlighters,Ambient,AS-168,794,1475,84.21,6/9/2035,3433
Double A,A4 Paper Box,Ambient,AS-175,776,1650,48,7/21/2035,3475
Americana Cakes,Pound Cake,Ambient,AS-653,1742,2068,11.23,8/31/2025,-136
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-477,1434,312,27.96,9/25/2026,254
Americana Cakes,Swiss Roll,Ambient,AS-702,339,2089,34.59,3/8/2026,53
California Garden,Fava Beans,Ambient,AS-792,1766,891,18.52,1/14/2027,365
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-395,857,1521,22.73,2/28/2026,45
California Garden,Fava Beans,Ambient,AS-931,1141,1413,77.7,7/23/2027,555
Double A,A4 Paper Box,Ambient,AS-821,519,102,48.87,2/21/2035,3325
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-578,1946,1714,45.9,1/18/2026,4
California Garden,Tuna skips,Ambient,AS-554,159,1260,66.6,9/2/2027,596
Double A,A4 Paper Box,Ambient,AS-733,1440,484,26.71,8/7/2035,3492
California Garden,Tuna skips,Ambient,AS-262,1013,1592,46.77,9/20/2027,614
Double A,A4 Paper Box,Ambient,AS-252,340,451,21.01,1/16/2035,3289
Americana Cakes,Pound Cake,Ambient,AS-383,802,464,42.25,1/9/2026,-5
California Garden,Tuna skips,Ambient,AS-769,1712,1704,21.36,5/18/2027,489
Americana Frozen,Burgers,Frozen (-18°C),AS-815,297,2061,56.85,9/5/2026,234
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-533,1042,465,54.41,10/8/2026,267
Bic/Stabilo,Highlighters,Ambient,AS-735,1281,2033,52.85,8/4/2035,3489
Double A,A4 Paper Box,Ambient,AS-176,1065,822,51.35,10/10/2035,3556
Bic/Stabilo,Highlighters,Ambient,AS-617,1258,147,81.2,11/27/2035,3604
Americana Cakes,Swiss Roll,Ambient,AS-540,596,1807,84.5,1/31/2026,17
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-601,1453,1806,42.38,8/6/2026,204
California Garden,Fava Beans,Ambient,AS-993,1184,1721,81.3,3/8/2027,418
